,author,title,description,url,source,category,country,published_at,isPriority,hasMain,id,content,topic open coding 1,topic open coding 2,topic open coding 3,sentiment open coding
42,TMZ Staff,"Taylor Swift Gives $100,000 Bonuses to Eras Tour Truckers",Taylor Swift is sharing the wealth from her wildly successful Eras Tour ... in the form of six-figure bonuses for the truckers hauling her equipment all around the country! Our Taylor sources tell us she gifted each trucker working her tour&hellip;,https://www.tmz.com/2023/08/01/taylor-swift-gifts-bonus-eras-tour-truckers/,TMZ,entertainment,us,2023-08-01 4:00,TRUE,TRUE,42,"Taylor Swift is sharing the wealth from her wildly successful Eras Tour ... in the form of six-figure bonuses for the truckers hauling her equipment all around the country!/nOur Taylor sources tell us she gifted each trucker working her tour $100,000 ... handing out the bonus checks before her Saturday show in Santa Clara, CA./nWe're told the folks getting the money are production truck drivers who have been hauling Taylor's equipment for The Eras Tour ... there are around 50 truckers for her U.S. tour, which means Taylor just shelled out about $5 million./nOur sources say the checks were an ""end of the tour"" bonus ... remember, the United States leg is coming to a close next week when Taylor plays a series of gigs at SoFi Stadium in Inglewood before moving down to Mexico./nTaylor's nationwide tour has raked in $1 billion in sales ... and when the dust settles, she could end up having the highest-grossing tour of all time!!!/nTruck drivers aren't the only ones getting a slice of the pie in the form of bonuses./nOur production sources tell us Taylor also bonused band members, dancers, lighting and sound technicians, caterers, and others. It's unclear how much the non-truckers received, but we're told it was a ""very generous amount.""/nBottom line ... it pays to work for Taylor.",Tour,Tour,Tour,1
43,Brian Seibert,Taylor Swift’s Eras Tour Through the Eyes of a Dance Critic,"The choreography on Taylor Swift’s Eras Tour doesn’t ask her to do too much, but she knows how to use her simple moves to her advantage.",https://www.nytimes.com/2023/08/09/arts/dance/taylor-swift-eras-tour-dancing.html,The New York Times,entertainment,us,2023-08-09 9:00,TRUE,TRUE,43,"Advertisement/nSupported by/nCritic’s notebook/nThe choreography on Taylor Swift’s Eras Tour doesn’t ask her to do too much, but she knows how to use her simple moves to her advantage./nBy Brian Seibert/nSince it’s an understatement to call Taylor Swift’s Eras Tour the dominant pop concert of the year, it isn’t surprising that snippets of the show, captured by fans on their phones, have been flooding social media sites for months. Watch a few of these clips, and it might strike you that the dance moves, in contrast to the designer costumes and visual effects, are rather simple and unoriginal, the sort of thing anyone might be able to pull off./nAt least that’s what I thought before seeing the Eras Tour live. Experiencing it in Los Angeles, at the end of its first United States leg, I changed my mind. As dance, the show is simple and unoriginal — yet exceptionally effective./nSwift is a pop superstar who dances but is not known for her dancing. Even many of her admirers will admit that in this respect she’s no Beyoncé, no Britney Spears — that as hard as she tries, she’s a little stiff and awkward. Be that as it may, body language is crucial to how the three-hour-plus performance works./nOn Friday, at the second of six Los Angeles concerts, the most significant gesture came early, between songs. Basking in the deafening roar of 70,000 fans, Swift struck a coy “Who, me?” pose and said she wanted to try something. She pointed at a section of SoFi Stadium, and the cheering from that section somehow got louder./n“I feel so powerful,” she said, kissing a bicep. But the power she was flexing wasn’t muscular. It was her ability — with the magnification of giant video screens — to connect with every member of the crowd. The choreography helped keep that connection a live wire./nI don’t just mean the dance numbers, though there are plenty of those, choreographed by Mandy Moore (“La La Land,” “So You Think You Can Dance?”). The backup dancers sometimes contributed to the spectacle. They handled the billowing floral parachutes that concealed and revealed Swift at the start. They wielded glowing orbs during “Willow,” clouds on ladders during “Lavender Haze,” umbrellas during “Midnight Rain.” Not especially imaginative, this was all just something big enough to see./nElsewhere, the dancers helped suggest the situations of the songs. The bicep kiss was a segue to “The Man,” a complaint about gender double standards that was staged as an ascent up the stairs and levels of an office set populated by chest-thumping workers. In other songs, a few dancers played roles: the boyfriend that Swift berates for emotional neglect across (and atop) a long dinner table in “Tolerate It,” or the scandalizing socialite protagonist of “The Last Great American Dynasty.”/nBut really, the concert has only one character, Swift. In “Look What You Made Me Do,” the dancers were costumed as earlier versions of her, trapped in transparent boxes like dolls. Mostly, though, they served as a friend group or party guests. A happy, diverse bunch, they did a little ballroom dancing to evoke the romantic fantasy of “Lover,” a little vogueing to give “Bejeweled” some shimmer./nAnd then they left. Which is to say, they left the audience alone with Swift, again and again, re-establishing the thrill of mass intimacy. Other pop stars use this effect, but it’s especially potent with Swift because she’s also a singer-songwriter, who can sit at a piano or tap into the iconography of a guitar-slinging truth teller./nThe most intense moments of the show were in this mode: the 10-minute extended version of “All Too Well” and the acoustic mini-set of “secret songs” that differ from night to night. This is almost pointedly not dancing, but it requires a particular physicality at which Swift excels. She has the wide stance, both confident and confiding. She looks grounded, comfortable, at home./nThat’s generally true when she isn’t dancing. She can strut or skip around the huge catwalk and stage that extend across the stadium floor without looking small. She can strike over-the-shoulder poses for the camera. She can inhabit her many sparkly costumes — rolling her hips in fringe dresses and Louboutin boots, using the flowy sleeves on her “Folklore” dress the way Stevie Nicks uses scarves./nSo does it matter that in the cafe chair burlesque routine for “Vigilante ___,” a homage to louche Bob Fosse dances, she’s imprecise and physically uncommitted to the pleasures and dangers of sex? (She caresses her body like she’s afraid to.) It doesn’t, because her fans love her anyway. And it does, because this imperfect dancing is, I think, part of her nonthreatening Everywoman image. It makes her easier to identify with./nAnd that is what the whole concert is about, the identification between Swift and the fans she continually thanks and flatters, the fans who know every word to every song. Swift told the L.A. crowd that when those fans sing her lyrics along with her, she takes that as a sign that they too have felt what she felt./nIt makes sense, then, that she moves the way anyone might move. So that anyone might imagine being her — just pointing and feeling powerful./nAdvertisement",Tour,Tour,Tour,0
44,"Hugh McIntyre, Senior Contributor",Taylor Swift’s ‘Red (Taylor’s Version)’ Hits A Special Billboard Milestone,"Taylor Swift's 'Red Taylor’s Version' has now lived on the Billboard 200 for 104 weeks, or exactly two years.",https://www.forbes.com/sites/hughmcintyre/2023/11/14/taylor-swifts-red-taylors-version-hits-a-special-billboard-milestone/,Forbes,general,us,2023-11-14 13:34,TRUE,TRUE,44,"LONDON, ENGLAND - MAY 11: Taylor Swift accepts the award for Global Icon during The BRIT Awards 2021 ... [+] at The O2 Arena on May 11, 2021 in London, England. (Photo by Dave J Hogan/Getty Images)/nTaylor Swift continues to control the Billboard 200 this week with her latest release, 1989 (Taylor’s Version). The set debuted atop the ranking of the most-consumed albums in the U.S. last time around with more than 1.6 million equivalent units shifted—the largest start of her career. Now, it’s a non-mover at No. 1 with more than 200,000 more units moved./nAs fans continue to buy and stream 1989 (Taylor’s Version) in huge enough numbers to keep it at No. 1 in America, it’s not as if her older albums are done with. In fact, one of her early re-recordings is still going strong, and this frame it reaches a special milestone./nRed (Taylor’s Version) has now lived on the Billboard 200 for 104 weeks, or exactly two years. This frame, the title slips slightly, dipping from No. 23 to No. 25./nAccording to data shared by Luminate, Red (Taylor’s Version) moved another 25,000 equivalent units this week. That sum includes 6,500 pure purchases—a very strong number for a title that’s been out in the world for at least two years./nRed (Taylor’s Version) served as the second re-recording Swift released in her effort to rework her first six albums as a way to regain control over the masters in a clever manner. The set opened at No. 1 on the Billboard 200 in November 2021 with 605,000 equivalent units moved. It marked her tenth trip to the summit at the time, but since then, she’s scored several more winners./nThe title is one of Swift’s 10 that is currently present on the Billboard 200. Amazingly, even though it’s still sitting as high as No. 25 on the chart, it’s only her seventh-highest-ranking of the bunch. Red (Taylor’s Version) is the singer’s eleventh title to spend at least two years on the Billboard 200, with many holding on for much, much longer./n",Achievements,Achievements,Achievements,1
45,Jack Nicas,"Taylor Swift Brings Her Eras Tour to Argentina, Shaking El Monumental","The singer-songwriter began her Eras Tour outside North America in the country, where some Swifties camped out for more than five months.",https://www.nytimes.com/2023/11/10/world/americas/taylor-swift-argentina.html,The New York Times,general,us,2023-11-10 16:09,TRUE,TRUE,45,"/nThe singer-songwriter began her Eras Tour outside North America, and some Swifties in Argentina camped out for more than five months./n/nThe singer-songwriter began her Eras Tour outside North America, and some Swifties in Argentina camped out for more than five months./nTaylor Swift performing in Buenos Aires on Thursday night.Credit...Sarah Pabst for The New York Times/nSupported by/nBy Jack Nicas/nReporting from Buenos Aires/nOn May 31, Florencia Romeo slept in a tent outside Argentina’s largest stadium with her girlfriend and her sister. They had heard rumors that Taylor Swift might be coming to Buenos Aires, and they wanted to be first in line./nThe rumors were right: Ms. Swift was coming, but it would take a while. Her concert was more than five months away./nThe tent stayed anyway, occupied by a rotating cast of 30 die-hard Swifties who worked together over 163 days to hold their spots in line for a chance to get as close as possible to their idol when she walked onstage Thursday in the first stop of her Eras Tour outside North America./n“We have been waiting for this for many years,” said Ms. Romeo, 23, who quit her job as a cashier partly to dedicate herself to waiting in line. “We didn’t expect her to come, and then she did. So it was obvious that we had to do what we had to do.”/nMs. Swift’s Eras Tour officially went global on Thursday when the pop megastar began a new phase of shows that would take her to 25 cities across South America, Asia, Australia and Europe over the next 10 months./nSince March, the North American stretch of the tour has become an economic marvel and a cultural force, cementing Ms. Swift’s status as one of the most influential, and beloved, people on the continent. Now, she is set to demonstrate that her fame and adoration go well beyond borders./nThere are few countries better to display the intense passion of her fans than Argentina. While Ms. Swift has become a certified global icon, Argentina has become known for worshiping icons with religious fervor./nConsider that Juan and Eva Perón became Argentina’s president and first lady in 1946 but are still lionized in political chants, are displayed in portraits in many Argentine homes and are the inspiration for a namesake political movement that still runs the country. Diego Maradona, the soccer star, became seen as such a deity here that tens of thousands of Argentines belong to the, yes, Church of Maradona, a legally recognized religion in its 25th year. And after Lionel Messi and the national soccer team won the World Cup last year, the crush of four million adoring fans during the victory parade forced the players to abandon their buses and fly over in a helicopter instead./n“She’s like the female Messi,” said Ms. Romeo, offering Ms. Swift about the highest praise an Argentine could nowadays. Some fans in Buenos Aires this week wore jerseys of the national soccer team with “SWIFT” on the back, while others passed out a sort of prayer card with Ms. Swift’s head superimposed over Jesus Christ’s./nSo it was no surprise that Ms. Swift’s arrival in Argentina became a national event. It received intense news coverage; Buenos Aires named her an official guest of honor; and she became a figure in next week’s presidential election after some of her fans organized against the far-right candidate, Javier Milei. Meteorologists even described forecasts for sun or rain this weekend as “dry Swifties” or “wet Swifties.” (Friday called for “wet Swifties,” so organizers rescheduled that show for Sunday.)/n“Everyone in the country knows her, and everyone knows about this show,” Renata Schyfys, 15, said at the show on Thursday, wearing at least six inches of friendship bracelets, which have become a badge of Swiftie fandom./nIn a country of 46 million people, Ms. Swift sold roughly 200,000 tickets across three sold-out shows, and yet the waiting list still had more than 2.8 million people — enough to fill Argentina’s biggest soccer arena, El Monumental, another 40 times./nThat stadium was shaking on Thursday night with near-constant, ear-piercing screams coming from the more than 70,000 fans there who repeatedly chanted, “Olé, olé, olé, olé, Taylor, Taylor.”/nEven Ms. Swift, who has seen her share of huge crowds, seemed taken aback. “I am looking out to possibly what might be one of the most epic crowds to ever exist,” she told the audience. “This is on another level.”/nLater, she removed her earpieces and motioned that she was struggling to hear over the roar of the crowd. She paused for a full two minutes, soaking in her fans’ adoration./n“I don’t know how to thank you enough for the way you’re treating me tonight,” she said. “I love you so, so much, and I can’t believe it’s taken me so long to come see you.”/nThe show on Thursday was Ms. Swift’s first major concert in South America, the first of nine this month in Argentina and Brazil. After waiting for so long, many Swifties on Thursday said they had made a sort of pilgrimage, many from across the continent./nNahuel Ochoa, a medical student wearing a homemade bedazzled jumpsuit and a glittery jacket, had taken a bus with 50 other fans from the city of San Luis, 12 hours away. Unable to get a room in Buenos Aires, where hotels were nearly sold out, he was planning to take the bus back after the show — and then return on Saturday to see Ms. Swift again./n“We have loved Taylor since we were 10 years old — we have been waiting 13 years,” Mr. Ochoa, 23, said, sitting alongside his childhood friend Andrea Garro. “Her songs reflect the majority of what we go through. It’s a form of expressing ourselves in a way that we can’t.”/nMs. Garro, 23, a law student, added that Ms. Swift’s music helped her get past a deep depression. “We feel seen,” she said./nBut there was no show of devotion greater than the more than 100 fans who camped out in shifts outside the stadium for months. After Ms. Romeo and her friends staked out their spot and attracted local news attention, other tents followed./nThe group of mostly young women set up shifts using a spreadsheet, with ideally at least two people present at the tent at all times. The 30 members of Ms. Romeo’s tent had to spend a minimum of 40 hours there a month, with each member spending about 10 to 12 nights at the tent on average. After spending the first few days sleeping with just blankets, they added a mattress./n“She has the best relationship with her fans and is the one that can achieve this sort of mania,” said Lucas Forte, 24, a member of another tent who had slept outside the stadium for five nights since September. “No one camped out for the Weeknd, for example.”/nMs. Swift herself was impressed with the effort. “I heard you guys were camping out to get good spots?” she asked the crowd on Thursday. “I actually didn’t believe it until I saw a video.”/nThe fans camping out were not holding a place to get tickets to the show. Those were all sold online. Rather, the tents were set up so they could be first in line when the doors to the show opened and the fans could sprint to the guardrails along the stage for a closer view./nEvent organizers helped make sure the fans who had camped out were first in line — yet many still ended up behind rows of people whose pricier tickets had allowed them to enter even earlier./nBut some campers eventually reached the barricade along the stage./n“I smashed my knee trying to get there,” said Atenas Astuni, 23, a member of the first-in-line tent, her voice hoarse the Friday morning after the show. “But if I had to smash my knee again to repeat exactly what happened yesterday, I would do it without hesitation.”/nJack Nicas is the Brazil bureau chief, covering Brazil, Argentina, Chile, Paraguay and Uruguay. He previously reported on technology from San Francisco and, before joining The Times in 2018, spent seven years at The Wall Street Journal. More about Jack Nicas/nAdvertisement",Tour,Tour,Tour,1
46,TMZ Staff,"Taylor Swift Fan Buys Concert Tickets For Wrong Date, Turned Away at Venue",A couple of big Taylor Swift fans are out lots of loot and a great show ... showing up at the venue a day after the concert went down!!! Bear Silber tells TMZ ... he snagged a pair of tickets for him and his wife months ago for what he thought was&hellip;,https://www.tmz.com/2023/08/03/taylor-swift-fan-buy-concert-tickets-wrong-day/,TMZ,entertainment,us,2023-08-03 4:00,TRUE,TRUE,46,"A couple of big Taylor Swift fans are out lots of loot and a great show ... showing up at the venue a day after the concert went down!!!/nBear Silber tells TMZ ... he snagged a pair of tickets for him and his wife months ago for what he thought was Taylor's show this past Saturday in Santa Clara, CA./nHe paid $500 for the tickets, and coughed up $60 for parking. They arrived at Levi's Stadium with unbridled excitement, got through a security checkpoint and presented their tickets./nImagine their shock when the tickets were scanned and they were told their tickets were for Friday night, not Saturday./nTo say they were crestfallen is an understatement. As for who screwed up, well, Bear says he slept on the sofa Saturday night./nThere is a happy ending to this story. Bear somehow snagged a second set of tickets for Taylor's show in Inglewood this coming Saturday. He has to work so he's not going, but his wife and her friend will be there. Those 2 tickets set him back $2,600. Oh, they live in Oakland so the flight will put him back another $600./nBTW, he says he triple-checked the dates for the new tickets ... a 4th time wouldn't hurt, Bear!",Tour,Tour,Tour,-1
47,,"Taylor Swift’s Eras Tour Speed Round, Part 2","A conversation about Swift’s relationship to celebrity, the tour date as destination event and how fans dressed up for the show.",https://www.nytimes.com/2023/09/05/arts/music/taylor-swift-eras-tour-part-2.html,The New York Times,entertainment,us,2023-09-05 19:35,TRUE,TRUE,47,"Advertisement/nThe first leg of Taylor Swift’s Eras Tour has come to a close, with the pop superstar having performed in stadiums across North America for several million people./nA few of those people are friends of Popcast. This week and next, we’ll speak with a few of them about their experiences at the show./nOn this week’s Popcast, conversations about Swift’s relationship to the broader hierarchy of celebrity, the tour date as destination event, how fans dressed up for the show, and ways in which Swift is extremely deliberate in the manner that she deploys sexuality./nGuests:/nCaryn Ganz, The New York Times’s pop music editor/nVrinda Jagota, a freelance writer for Pitchfork and others/nJosh Duboff, a freelance writer for Vanity Fair and others/nConnect With Popcast. Become a part of the Popcast community: Join the show’s Facebook group and Discord channel. We want to hear from you! Tune in, and tell us what you think at popcast@nytimes.com. Follow our host, Jon Caramanica, on Twitter: @joncaramanica./nAdvertisement",Tour,Tour,Tour,0
48,TMZ Staff,"Taylor Swift's Security Guard Heads Home To Israel, Joins IDF Fight Against Hamas","Taylor Swift's security guard, who went viral for how well he protected the singer during her ""Eras"" tour, is back home in Israel ... joining the army in the fight against Hamas terrorists. The singer's bodyguard flew back to the Middle East amid&hellip;",https://www.tmz.com/2023/10/16/taylor-swift-security-guard-heads-home-israel-joining-idf-fight-hamas-attacks/,TMZ,entertainment,us,2023-10-16 11:33,TRUE,TRUE,48,"Taylor Swift's security guard, who went viral for how well he protected the singer during her ""Eras"" tour, is back home in Israel ... joining the army in the fight against Hamas terrorists./nThe singer's bodyguard flew back to the Middle East amid the deadly fight, according to Eran Swissa of news outlet Israel Hayom -- who said the unnamed guard claimed he ""couldn't stand by while families were slaughtered and burned alive in their homes.""/nHe urges others to not ""stand by and do nothing. Don't be on the wrong side of history."" He also put Hamas aggressors on blast, saying, ""It would be an insult to animals around the world to call these terrorists 'animals.’""/nTaylor's guard was reportedly once a member of the IDF before coming over to the U.S., too./n“thanks so much for coming” ?? pic.twitter.com/0Vjld6hhoE/nThe guard first garnered attention this summer after a viral TikTok showed him doing a near-perfect security detail for the singer while she performed in Kansas City./nHe really stole the show online, with one fan claiming he ""scanned a thousand people in the crowd in six seconds, six seconds flat. Whatever Taylor Swift's paying him, it's not enough.""/nBTW, Taylor's concert film broke records when it opened worldwide this past weekend, but the flick was postponed in Israel as the attacks from Hamas terrorists continued ... this after tickets were selling in the country for weeks before the movie was released.",Unrelated/Politics,Controversy,Gossip,0
49,Shubhankar Adhikari,Soaring Demand for Tickets to Jets–Chiefs Battle as Travis Kelce and Taylor Swift Script a Tsunami,Taylor Swift is still making waves in the football arena following her outing at the Kansas City Chiefs vs. Chicago Bears draw last Sunday. The 12-time Grammy winner’s splash at Arrowhead Stadium has certainly piqued the interest of both Swifties and Travis Kelce fans. The result? A mad rush for tickets for the Chiefs’ next&#8230;The post Soaring Demand for Tickets to Jets–Chiefs Battle as Travis Kelce and Taylor Swift Script a Tsunami appeared first on EssentiallySports.,https://www.essentiallysports.com/nfl-afc-news-soaring-demand-for-tickets-to-jets-chiefs-battle-as-travis-kelce-and-taylor-swift-script-a-tsunami/,Essentially Sports,sports,us,2023-09-29 9:02,FALSE,TRUE,49,"Follow Us/nvia Imago/nImage Credits: Imago/nTaylor Swift is still making waves in the football arena following her outing at the Kansas City Chiefs vs. Chicago Bears draw last Sunday. The 12-time Grammy winner’s splash at Arrowhead Stadium has certainly piqued the interest of both Swifties and Travis Kelce fans. The result? A mad rush for tickets for the Chiefs’ next outing against the New York Jets./nAmerica’s Favorite Video Today/nThe game is certain to draw in fans of both the Chiefs and Jets. The aftereffects of Swift’s presence at the Chiefs-Bears can be felt in terms of ticket prices for the event. Average ticket prices rose a jaw-dropping 46.3 percent, according to sources./n?? | Demand for tickets to Sunday’s Jets-Chiefs game is SOARING and average ticket prices rose 46.3% due to @TaylorSwift13 and Travis Kelce./n— “Sold more than double the amount of tickets in a single day than any other day this season.” pic.twitter.com/7Nij0vBIqM/n— Taylor Swift Facts (@blessedswifty) September 29, 2023/nADVERTISEMENT/nArticle continues below this ad/n/nAccording to media reports, Swift is supposed to be attending the Sunday game featuring the Chiefs and the Jets. The pop star will indeed be watching the game, a source said./nHowever, Swift’s representatives declined to comment on the issue, the media report said./nNovember 21, 2023 09:49 pm EDT/nNovember 21, 2023 05:23 pm EDT/nNovember 14, 2023 09:26 pm EDT/nNovember 22, 2023 08:00 pm EDT/nNovember 23, 2023 09:24 pm EDT/nGet instantly notified of the hottest NFL stories via Google! Click on Follow Us and Tap the Blue Star./nFollow Us/nPower Couple Patrick Mahomes And Brittany Gets Dwarfed By NFL’s Love Birds
Travis Kelce And Taylor Swift in 48 Hours/nThe rumored relationship between the tight end and the “Shake It Off” singer has fueled speculation and caused interest in the duo to spike. Swift wore Chiefs’ colors on the day she was in the stand cheering for the team./nAverage ticket prices rose from $428.70 to $627.20 before they stabilized. The Jets sold more than double the number of tickets on a single day than any other day this season after Swift’s attendance was confirmed./nSwift is expected to get VIP treatment at MetLife Stadium, just as she had at Arrowhead. FOX Sports, which went full throttle to cover her at the Chiefs-Bears game, will also be looking forward to similar coverage./nUSA Today via Reuters/nNFL, American Football – Taylor Swift reacts while sitting next to Donna Kelce watching the Kansas City Chiefs vs Chicago Bears game during the first half at GEHA Field at Arrowhead Stadium, Kansas City, Missouri, USA | Image Credits: Denny Medley-USA TODAY Sports/Reuters/nThe pop sensation’s appearance at the Arrowhead Stadium and her alleged romantic relationship with Kelce had positive ramifications for all concerned parties./nADVERTISEMENT/nArticle continues below this ad/nThe network had more than 24 million viewers for its telecast of the drubbing of the Bears at the hands of the Chiefs. The number is likely to grow. This also meant that this match was the most-watched NFL game on Week 3./nThe results of Swift’s cheering on Kelce were felt far and wide. There was a 400% spurt in Kelce’s jersey sales and his podcast, which he hosts with brother Jason, ranked No. 1 on Apple. Significantly, there was a 63 percent spike in female viewership of the game./nSwift’s presence at the game has raised the profile of both the stars. It is expected to boost Kelce’s prospects after retirement. He has hinted that he might go into entertainment after his footballing stint./nADVERTISEMENT/nArticle continues below this ad/nThe singer may not be the only celebrity in attendance at the Jets game. Quarterback Aaron Rodgers could attend the upcoming game. Who else do you expect to be there at the game? Let us know in the comments below./nWatch This Story: “Beat You”: Gymnastics’ Emerging Sensation Challenges Simone Biles for the Lead”/nThe Fan's Perspective/nEnjoyed Your Read? Let us know how likely you are to recommend EssentiallySports to your friends!/n1/n2/n3/n4/n5/nLeast Likely/nMost Likely/nSubmit/nADVERTISEMENT/nWritten by:/nShubhankar Adhikari/n12Articles/nOne take at a time/nEdited by:/nAmal Joyce/nADVERTISEMENT/nADVERTISEMENT",Sports,Sports,Social impact,1
50,,Taylor Swift fan Aaron Rodgers returns to MetLife Stadium on crutches,Aaron Rodgers at MetLife Stadium on Sunday night for the first time since the Achilles injury. Taylor Swift also in the house — Rodgers is a noted fan.,https://www.foxnews.com/sports/taylor-swift-fan-aaron-rodgers-returns-metlife-stadium-crutches,FOX News - Most Popular,general,us,2023-10-01 20:02,FALSE,TRUE,50,"Fox News Flash top sports headlines are here. Check out what's clicking on Foxnews.com./nAaron Rodgers was revealed to be a Taylor Swift fan over the offseason as he was spotted rocking to her tunes when he went to one of her concerts on her Eras Tour./nUnfortunately, Rodgers won’t be on the field as the singer makes an appearance at MetLife Stadium in support of her rumored boyfriend, Kansas City Chiefs tight end Travis Kelce. But the stars aligned Sunday night as Rodgers was feeling well enough to make it onto the Jets sidelines./nCLICK HERE FOR MORE SPORTS COVERAGE ON FOXNEWS.COM/nNew York Jets quarterback Aaron Rodgers waves to fans before the game against the Kansas City Chiefs, Oct. 1, 2023, in East Rutherford, New Jersey. (AP Photo/Frank Franklin II)/nRodgers was seen talking with Kelce before the game. Rodgers was wearing sunglasses and his left foot was in a brace. The Jets quarterback suffered a torn Achilles on the first drive of the season. He’s expected to miss the entire regular season./nAPP USERS VIEW THE MOMENT HERE./nAs the eyeballs will certainly be on Swift, Rodgers turned heads earlier this year when he was seen rocking to some T-Swift tunes. He was with Miles Teller at the second night of her tour that ran through MetLife Stadium in May./nRodgers was asked at the team’s facility what his favorite Swift album was./nDONNA KELCE SITS NEXT TO ANOTHER FAMOUS FACE TO WATCH EAGLES PLAY COMMANDERS/nNew York Jets quarterback Aaron Rodgers stands on the sidelines before the game against the Kansas City Chiefs, Oct. 1, 2023, in East Rutherford, New Jersey. (AP Photo/Bryan Woolston)/n""Too many, too many to count,"" Rodgers said. ""Anything off of ‘Folklore,’ probably.""/nRodgers then named a few songs before settling on his favorite album./n""How do you pick just one?"" Rodgers said. ""But if I pick one album, definitely ‘Folklore.’""/nRodgers’ appearance at the Swift concert came as he was taking in the New York metropolitan area. He was seen at a New York Rangers game and a New York Knicks game as the Big Apple welcomed him with open arms./nNew York Jets quarterback Aaron Rodgers, right, and Kansas City Chiefs quarterback Patrick Mahomes talk before the game on Oct. 1, 2023, in East Rutherford, New Jersey. (AP Photo/Bryan Woolston)/nCLICK HERE TO GET THE FOX NEWS APP/nWhile he won’t be playing Sunday night, he will definitely be there to help Zach Wilson out against the defending Super Bowl champs./nRyan Gaydos is a senior editor for Fox News Digital./nReceive your weekly recap of all the happenings around the world of sports./nSubscribed/nYou've successfully subscribed to this newsletter!",Unrelated,Unrelated,Unrelated,1
51,Matt Stevens,When Taylor Swift and Travis Kelce Collide With Prime-Time TV,The Chiefs and the Jets are playing on “Sunday Night Football.” But many who tune in will be watching for shots of a luxury suite.,https://www.nytimes.com/2023/10/01/arts/taylor-swift-travis-kelce-chiefs-nbc.html,The New York Times,entertainment,us,2023-10-01 5:01,TRUE,TRUE,51,"Advertisement/nSupported by/nThe Chiefs escaped with a win over the Jets on “Sunday Night Football,” but many viewers were watching for shots of a luxury suite./nBy Matt Stevens/nThe game on Sunday night between the Kansas City Chiefs and the New York Jets was not expected to be must-see TV, at least from a football perspective./nThe Chiefs were the reigning Super Bowl champions and were led by the N.F.L.’s best player. The Jets were flailing after their 39-year-old would-be savior tore his Achilles’ tendon minutes into the season./nBut many millions of people tuned in anyway: America’s most breathlessly covered situationship — between Kansas City’s All-Pro tight end, Travis Kelce, and pop music’s biggest star, Taylor Swift — was playing out on prime-time television./n“They are two of the biggest media entertainment entities,” said Nora Princiotti, a football writer for The Ringer who also co-hosts a popular music podcast that often focuses on Swift./nThe game was surprisingly competitive, with the Chiefs narrowly beating the Jets, 23-20. And the telecast also offered a spectacular collision of the nation’s most-watched prime-time show and the ardent fans of a pop star at the height of her powers./nMaria Taylor, the host of NBC’s pregame show on Sunday night, opened her monologue with an unsubtle nod to a Swift song, “Enchanted.” Over the next hour, anchors called attention to a Swift look-alike, and cameras showed fans wearing Swift T-shirts./nThe network also featured a collage of photos of Swift at last week’s Chiefs-Bears game, and around 7:42 p.m., cameras showed Swift herself at MetLife Stadium./nAbout 10 minutes later, NBC aired a mash-up of TikTok videos, photos and scenes from Kelce’s podcast, unspooling football story lines as well as the week’s celebrity buzz. Then the “Sunday Night Football” broadcast officially began with mentions of Jets and Chiefs players preparing to take the field./n“Oh, and yeah, she’s here: Taylor is in the house,” the play-by-play announcer Mike Tirico said while NBC showed Swift hugging someone in a luxury suite. Tirico then added, “Hi Swifties, we’ll be with you all night.”/nGiven Swift’s mega-fame and penchant for writing songs about her romantic relationships, her dating life has long been a subject of scrutiny. But the frenzied curiosity of the past week was rare even for Swift./nFox Sports said the Chiefs-Bears game that Swift attended was the week’s most-watched telecast on any network, with 24.3 million viewers powered in part by a strong female audience. Fox cameras frequently panned to her reactions after Kelce, the game’s leading receiver, touched the ball./nOn Sunday, NBC showed Swift several times but focused primarily on the football game. Network officials had said it was important to satisfy its regular audience, even though they knew that some viewers would be mostly interested in the 12-time Grammy winner./n“We’re aware we could be reaching new eyeballs,” Rob Hyland, the coordinating producer of “Sunday Night Football,” said on Friday./nJust before Sunday night’s game began, NBC ran yet another teaser for the contest — this one narrated by the television host Carson Daly — explaining the stakes of the football matchup with at least a half-dozen call-outs to titles of Swift songs./nWhen the Chiefs quickly scored a touchdown in the first quarter, the cameras turned to Swift’s celebration, even though Kelce was not involved with the play. During the commercial break that followed, NBC aired, for a second time, a high-gloss commercial for Swift’s Eras Tour concert movie that hits theaters this month./nLater in the evening, NBC showed a “Cornelia St.” sign in Manhattan (Swift wrote a song about the street); Donna Kelce, the tight end’s mother, got more screen time with Swift; and Melissa Stark gave a sideline report about the spike in Kelce jersey sales./nThe Chiefs and a publicist for Swift did not respond to a request for comment./nBut with Swift’s Eras Tour briefly on pause, her concert movie forthcoming and Kelce’s commitment to his football podcast as his Hall of Fame-caliber career wanes, a supercharged dose of crossover publicity on national television was probably a welcome boost, even for the already famous./nKelce led the Chiefs with six receptions but had a quiet night by his standards. Swift gave celebratory fist bumps as the final seconds ticked off the clock./nMatt Stevens is an arts and culture reporter for The Times based in New York. He previously covered national politics and breaking news. More about Matt Stevens/nAdvertisement",Sports,Sports,Social impact,1
